condition,seed,accuracy,macro_precision,macro_recall,macro_f1,best_epoch,stopped_epoch,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
oversample,47,0.6920301223721368,0.4483735960612075,0.5035311346626556,0.45351375979284486,87,97,0.9143255976269412,0.2736842105263158,0.2789473684210526,0.7085953878406709,0.3689727463312369,0.2919254658385093,0.7440347071583514,0.17672413793103448,0.44630404463040446,0.3316239316239316
oversample,48,0.7045811107624725,0.4543292807740544,0.5041823757039351,0.4588787928305198,97,100,0.9293935749871156,0.2703962703962704,0.2384428223844282,0.7171646977067407,0.4036697247706422,0.30321592649310875,0.7453142227122381,0.18695652173913044,0.41199478487614083,0.38223938223938225
oversample,49,0.7011295889551302,0.450420972959221,0.48898664159879796,0.4510857577898954,63,73,0.9230504981106149,0.25660377358490566,0.19672131147540983,0.7296551724137931,0.36971046770601335,0.3107142857142857,0.7490431930016402,0.19158878504672897,0.39858490566037735,0.3851851851851852
oversample,50,0.6903043614684656,0.45400439524119995,0.49660176288919977,0.44701896355395193,52,62,0.9186470078057242,0.2505050505050505,0.19844357976653695,0.7134020618556701,0.3591682419659735,0.29651162790697677,0.7429205996668518,0.20270270270270271,0.4012539184952978,0.38663484486873506
oversample,51,0.6918732350172576,0.45202163993872874,0.48675029643573486,0.4452866505389017,49,59,0.9186206896551724,0.26512968299711814,0.2074074074074074,0.703886925795053,0.39330543933054396,0.30148619957537154,0.7457253171538886,0.1636060100166945,0.38696109358569925,0.36673773987206826
smote,42,0.6965798556636336,0.43851227245017166,0.4906396345638309,0.4455658953083324,73,83,0.9179593243709065,0.2743142144638404,0.24154589371980675,0.7168796234028245,0.3619402985074627,0.304857621440536,0.741304347826087,0.1725067385444744,0.37326607818411095,0.3510848126232742
smote,43,0.6904612488233448,0.43624756383715,0.4895576869056854,0.4428690254053153,72,82,0.9147043432757719,0.28634361233480177,0.2556818181818182,0.7158866183256427,0.35294117647058826,0.2730627306273063,0.7452054794520548,0.16326530612244897,0.3888888888888889,0.33271028037383177
smote,44,0.6830875431440226,0.4267818144774543,0.4569560902424449,0.4205037103608893,26,36,0.9197255574614065,0.2297650130548303,0.20512820512820512,0.6821480406386067,0.30985915492957744,0.26258205689277897,0.7456709956709957,0.16143497757847533,0.36030204962243795,0.32842105263157895
smote,45,0.6950109821148416,0.44318300626258056,0.49575942306410975,0.4480815697211513,93,100,0.9150121908742599,0.25440313111545987,0.2311111111111111,0.7093105899076049,0.3603238866396761,0.26823529411764707,0.7615018508725542,0.20588235294117646,0.40753045404208194,0.36750483558994196
smote,46,0.6920301223721368,0.4420561292537265,0.49001525807515434,0.4444639488516799,51,61,0.9111688311688312,0.2753246753246753,0.2288329519450801,0.7210599721059973,0.3821138211382114,0.27765726681127983,0.7496029645314981,0.18497109826589594,0.3818615751789976,0.33204633204633205
smote,47,0.693755883275808,0.44711326640830784,0.48670364234553026,0.4437983187260066,35,45,0.9192632122568428,0.25936599423631124,0.22174840085287847,0.7049067035245336,0.3778801843317972,0.29473684210526313,0.7478448275862069,0.1969439728353141,0.3805104408352668,0.3347826086956522
smote,48,0.6918732350172576,0.44306000203802454,0.491773846454158,0.44311271002181724,58,68,0.9203876773970232,0.2505592841163311,0.25327510917030566,0.6940766550522648,0.35363457760314343,0.2528216704288939,0.7585071350164654,0.18518518518518517,0.38686987104337633,0.3758099352051836
smote,49,0.7034828992783182,0.45651611206303694,0.5048342134308539,0.4630407914189834,99,100,0.9169400794336039,0.2844638949671772,0.25806451612903225,0.7378378378378379,0.4238095238095238,0.2846299810246679,0.754614549402823,0.17810760667903525,0.4047058823529412,0.3872340425531915
smote,50,0.6890492626294321,0.44009901879952107,0.49207986629166467,0.442502604071566,54,64,0.9131799163179917,0.30848329048843187,0.2548476454293629,0.7214927436074637,0.33226837060702874,0.27599243856332706,0.7366143861546782,0.1694915254237288,0.39483870967741935,0.31781701444622795
smote,51,0.7135236899905868,0.46211847516709514,0.5050980713362893,0.4645226739382121,99,100,0.9287661895023859,0.2697201017811705,0.2260127931769723,0.7228749136143746,0.4215456674473068,0.2995391705069124,0.7612903225806451,0.2,0.42046718576195774,0.39501039501039503
qgan,42,0.7026984625039222,0.43114179147916587,0.4336403959318894,0.4170073510866931,57,67,0.9171821305841924,0.22157434402332363,0.23275862068965517,0.7018822100789314,0.3154929577464789,0.2504970178926441,0.7375959079283887,0.08695652173913043,0.38479087452471483,0.3213429256594724
qgan,43,0.7050517728271102,0.4409174904098429,0.4317493302037603,0.41870137549828373,56,66,0.9236016371077762,0.2484076433121019,0.23904382470119523,0.6961194029850746,0.28059701492537314,0.2297872340425532,0.7397260273972602,0.12578616352201258,0.3699155794320798,0.33402922755741127
qgan,44,0.7119548164417948,0.4428237604955645,0.4446971863087385,0.4302232609258005,94,100,0.9279018237600136,0.22797927461139897,0.2549800796812749,0.6945500633713562,0.32061068702290074,0.27546628407460544,0.7481371087928465,0.10909090909090909,0.40077444336882867,0.34274193548387094
qgan,45,0.7036397866331974,0.42802589128248647,0.4325752526118916,0.41463572649176006,48,58,0.920281158923367,0.23318385650224216,0.2157676348547718,0.7123809523809523,0.26382978723404255,0.2727272727272727,0.735655737704918,0.047337278106508875,0.4039408866995074,0.3412526997840173
qgan,46,0.7023846877941637,0.43607022738383916,0.43832178452039133,0.4233560387833287,65,75,0.9146781115879828,0.23841059602649006,0.2465753424657534,0.7042801556420234,0.3104693140794224,0.26156941649899396,0.7409224730127576,0.0963855421686747,0.38030560271646857,0.3399638336347197
qgan,47,0.6827737684342642,0.41140088709155426,0.4102135832301358,0.39551213964380744,23,33,0.9090287277701778,0.22822822822822822,0.17940199335548174,0.6902173913043478,0.2796352583586626,0.21176470588235294,0.7141393442622951,0.1,0.35964310226492796,0.28306264501160094
qgan,48,0.7048948854722309,0.43458598555014055,0.42863308509833387,0.41751323830211257,49,59,0.9201572918447598,0.2116991643454039,0.24752475247524752,0.6756302521008404,0.29850746268656714,0.31762652705061084,0.7391983342009371,0.0670391061452514,0.36980491942324,0.3279445727482679
qgan,49,0.6964229683087543,0.4263804727093075,0.4342881630310532,0.41674409012520897,49,59,0.9106988035373678,0.22842639593908629,0.1806020066889632,0.7069943289224953,0.27848101265822783,0.3137254901960784,0.7498736735725113,0.12037037037037036,0.3793677204658902,0.2989010989010989
