pkt_len_mean,fwd_pkt_len_mean,bwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_max,pkt_len_min,fwd_pkt_len_min,pkt_len_var,pkt_len_std,fwd_byts_b_avg,flow_byts_s,flow_pkts_s,init_bwd_win_byts,init_fwd_win_byts,fwd_psh_flags,psh_flag_cnt,Label
54.0,54.0,0.0,54,0,54,54,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
54.0,54.0,0.0,54,0,54,54,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
205.66666666666663,146.0,325.0,146,325,146,146,7120.222222222223,84.38140922159468,0.0,1317.9846156803856,6.408353074620999,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1384.413311864895,6.449130334774355,0,0,0,0,0
205.66666666666663,146.0,325.0,146,325,146,146,7120.222222222223,84.38140922159468,0.0,2742.453807210387,13.334459354345478,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1245.529920761862,5.802158015971407,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,1114.5828874716433,5.136326670376236,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1101.6286656095135,5.131810554081586,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,1210.7460687949265,5.579474971405191,0,0,0,0,0
204.0,146.0,320.0,146,320,146,146,6728.0,82.02438661763951,0.0,1137.322386295637,5.575109736743318,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,2024.068818339824,9.4288920108998,0,0,0,0,0
210.0,146.0,338.0,146,338,146,146,8192.0,90.50966799187808,0.0,2149.55439396214,10.235973304581622,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1231.122156375454,5.735041101127892,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1994.264939955284,9.290054068114676,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,1832.532948998722,8.44485229953328,0,0,0,0,0
172.0,146.0,224.0,146,224,146,146,1352.0,36.76955262170047,0.0,579.381431723379,3.368496696066157,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1083.5949777728422,5.047802691488395,0,0,0,0,0
210.0,146.0,338.0,146,338,146,146,8192.0,90.50966799187808,0.0,1251.1518540878906,5.957865971847098,0,0,0,0,0
205.66666666666663,146.0,325.0,146,325,146,146,7120.222222222223,84.38140922159468,0.0,1729.2891696609247,8.40821314259769,0,0,0,0,0
