flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,session_id,Label,Label_Name
18.892646,58.96474215416941,0.2646532412664695,0.1587919447598817,0.1058612965065878,3,2,438,676,146,146,146.0,0.0,338,338,338.0,0.0,338,146,222.8,94.06040612287404,8847.36,60,40,3,4.7231615,17.789402,0.0,7.547186086530612,18.370113,18.370113,0.0,9.1850565,9.1850565,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6666666666666666,222.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,338.0,3,2,438,676,Bittorent_4G_Nightime1,0,Bittorent
0.33792,1926.491477272728,8.877840909090908,5.918560606060606,2.959280303030303,2,1,292,359,146,146,146.0,0.0,359,359,359.0,0.0,359,146,217.0,100.40916292848976,10082.0,40,20,2,0.16896,0.33792,0.0,0.16896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,359.0,2,1,292,359,Bittorent_4G_Nightime1,0,Bittorent
14.567595,75.92193495220042,0.3432275540334557,0.2059365324200734,0.1372910216133823,3,2,438,668,146,146,146.0,0.0,334,334,334.0,0.0,334,146,221.2,92.10081432864747,8482.56,60,40,3,3.64189875,13.722335,0.0,5.822502740957249,14.153585,14.153585,0.0,7.0767925,7.0767925,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6666666666666666,221.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,334.0,3,2,438,668,Bittorent_4G_Nightime1,0,Bittorent
0.164365,3753.840537827396,18.25206096188361,12.16804064125574,6.084020320627871,2,1,292,325,146,146,146.0,0.0,325,325,325.0,0.0,325,146,205.66666666666663,84.38140922159468,7120.222222222223,40,20,2,0.0821825,0.164365,0.0,0.0821825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,205.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,325.0,2,1,292,325,Bittorent_4G_Nightime1,0,Bittorent
0.242123,2659.805140362543,12.390396616595696,8.260264411063797,4.130132205531899,2,1,292,352,146,146,146.0,0.0,352,352,352.0,0.0,352,146,214.66666666666663,97.10933128295252,9430.22222222222,40,20,2,0.1210615,0.242123,0.0,0.1210615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,214.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,2,1,292,352,Bittorent_4G_Nightime1,0,Bittorent
0.502503,1281.584388550914,5.970113611262022,3.980075740841348,1.990037870420674,2,1,292,352,146,146,146.0,0.0,352,352,352.0,0.0,352,146,214.66666666666663,97.10933128295252,9430.22222222222,40,20,2,0.2512515,0.502503,0.0,0.2512515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,214.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,2,1,292,352,Bittorent_4G_Nightime1,0,Bittorent
14.210574,80.362693301481,0.3518506711973774,0.2111104027184264,0.1407402684789509,3,2,438,704,146,146,146.0,0.0,352,352,352.0,0.0,352,146,228.4,100.91897740266694,10184.64,60,40,3,3.5526435,13.40746,0.0,5.692080867090193,13.779335,13.779335,0.0,6.8896675,6.8896675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6666666666666666,228.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,3,2,438,704,Bittorent_4G_Nightime1,0,Bittorent
0.22741,2713.161250604635,13.19203201266435,8.7946880084429,4.39734400422145,2,1,292,325,146,146,146.0,0.0,325,325,325.0,0.0,325,146,205.66666666666663,84.38140922159468,7120.222222222223,40,20,2,0.113705,0.22741,0.0,0.113705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,205.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,325.0,2,1,292,325,Bittorent_4G_Nightime1,0,Bittorent
11.938492,139.129799643037,0.5863387101151468,0.3350506914943696,0.2512880186207772,4,3,584,1077,146,146,146.0,0.0,359,359,359.0,0.0,359,146,237.28571428571428,105.40766343204882,11110.775510204085,80,60,4,1.9897486666666664,9.663678,0.0,3.439165370727016,11.23606,10.142101,0.0,3.7453533333333335,4.545178552171105,11.460069,10.125792,1.334277,5.7300345,4.3957575,0,0,0,0,0,0,0,0.75,237.28571428571428,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,359.0,4,3,584,1077,Bittorent_4G_Nightime1,0,Bittorent
0.027207,13231.888852133645,220.53148086889405,110.26574043444704,110.26574043444704,3,3,162,198,54,54,54.0,0.0,78,60,66.0,8.48528137423857,78,54,60.0,8.48528137423857,72.0,60,60,0,0.0054414,0.026383,0.0,0.0104745768334572,0.027207,0.027207,0.0,0.0136035,0.0136035,0.026383,0.026383,0.0,0.0131915,0.0131915,0,1,3,0,1,1,6,1.0,60.0,64240,65535,0.0,0.0,0.0,0.0,0.0,0.0,54.0,66.0,3,3,162,198,Bittorent_4G_Nightime1,0,Bittorent
