flow_byts_s,flow_duration,flow_iat_max,fwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_max,bwd_pkt_len_min,pkt_len_max,fwd_iat_mean,fwd_iat_max,fwd_pkt_len_min,pkt_len_min,fwd_pkt_len_std,bwd_pkt_len_std,bwd_iat_tot,down_up_ratio,tot_bwd_pkts,tot_fwd_pkts,fwd_act_data_pkts,fwd_psh_flags,fwd_byts_b_avg,bwd_byts_b_avg,init_fwd_win_byts,bwd_psh_flags,fin_flag_cnt,bwd_seg_size_avg,totlen_bwd_pkts,pkt_len_mean,psh_flag_cnt,syn_flag_cnt,Label
1220.6532276058883,0.533321,0.533321,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1089.9066099630286,0.561516,0.561516,146.0,146,320,320,320,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,320.0,320,204.0,0,0,0
1204.527246184276,0.540461,0.540461,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1077.3690811522092,0.243185,0.243185,82.0,82,98,98,98,0.0,0.0,82,82,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,98.0,98,87.33333333333333,0,0,0
1317.9846156803856,0.468139,0.468139,146.0,146,325,325,325,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,325.0,325,205.66666666666663,0,0,0
1384.413311864895,0.465179,0.465179,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
2742.453807210387,0.224981,0.224981,146.0,146,325,325,325,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,325.0,325,205.66666666666663,0,0,0
1245.529920761862,0.517049,0.517049,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1114.5828874716433,0.584075,0.584075,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1101.6286656095135,0.584589,0.584589,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
942.208327905866,0.69093,0.69093,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1210.7460687949265,0.537685,0.537685,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1137.322386295637,0.538106,0.538106,146.0,146,320,320,320,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,320.0,320,204.0,0,0,0
2024.068818339824,0.318171,0.318171,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
2149.55439396214,0.293084,0.293084,146.0,146,338,338,338,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,338.0,338,210.0,0,0,0
1231.122156375454,0.5231,0.5231,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1994.264939955284,0.322926,0.322926,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1832.532948998722,0.355246,0.355246,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
579.381431723379,0.890605,0.890605,146.0,146,224,224,224,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,224.0,224,172.0,0,0,0
1083.5949777728422,0.594318,0.594318,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1251.1518540878906,0.503536,0.503536,146.0,146,338,338,338,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,338.0,338,210.0,0,0,0
1729.2891696609247,0.356794,0.356794,146.0,146,325,325,325,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,325.0,325,205.66666666666663,0,0,0
950.71347798744,0.677386,0.677386,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1791.5912056240384,0.359457,0.359457,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
1060.4833914617238,0.613871,0.613871,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1801.652206401262,0.361335,0.361335,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1307.369993828564,0.492592,0.492592,146.0,146,352,352,352,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,352.0,352,214.66666666666663,0,0,0
934.998322939516,0.673798,0.673798,146.0,146,338,338,338,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,338.0,338,210.0,0,0,0
964.6087852004416,0.674885,0.674885,146.0,146,359,359,359,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,359.0,359,217.0,0,0,0
1520.0713472710163,0.405902,0.405902,146.0,146,325,325,325,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,325.0,325,205.66666666666663,0,0,0
1357.8882966314686,0.454382,0.454382,146.0,146,325,325,325,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,325.0,325,205.66666666666663,0,0,0
1748.8438199190534,0.360238,0.360238,146.0,146,338,338,338,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,338.0,338,210.0,0,0,0
1492.4630615392268,0.422121,0.422121,146.0,146,338,338,338,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,338.0,338,210.0,0,0,0
1283.528809709053,0.480706,0.480706,146.0,146,325,325,325,0.0,0.0,146,146,0.0,0.0,0.0,0.5,1,2,2,0,0.0,0.0,0,0,0,325.0,325,205.66666666666663,0,0,0
