condition,seed,accuracy,macro_precision,macro_recall,macro_f1,best_epoch,stopped_epoch,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
oversample,45,0.5116696588868941,0.31753795686068353,0.2930398706797891,0.2698732205490977,44,54,0.8552631578947368,0.2195845697329377,0.19906687402799378,0.11044417767106843,0.1772784019975031,0.13305613305613306,0.46808510638297873,0.015503875968992248,0.3605514316012725,0.1598984771573604
oversample,46,0.5239377618192699,0.3027852852532177,0.29244215228284126,0.2683549886089756,45,55,0.8666882906260136,0.20268256333830104,0.18719211822660098,0.050955414012738856,0.1861152141802068,0.14634146341463414,0.4935952177625961,0.013628620102214651,0.35509138381201044,0.18125960061443933
oversample,47,0.5275284260921603,0.32387628502682253,0.30868100537214443,0.280188101287483,50,60,0.8641693811074919,0.21861152141802068,0.1847649918962723,0.1282051282051282,0.17997465145754118,0.15947712418300652,0.4716312056737589,0.02185792349726776,0.4025854108956602,0.17060367454068243
oversample,48,0.5363554757630161,0.3177526660013428,0.30850388239553084,0.28035034619904514,33,43,0.8728566806858622,0.1767180925666199,0.18840579710144928,0.12278630460448642,0.17453505007153075,0.14601344860710855,0.5294117647058824,0.03550295857988166,0.3704433497536946,0.18683001531393567
oversample,49,0.5388988629563136,0.32670496526998566,0.3206801960220692,0.2879353271899207,46,56,0.8753056234718827,0.22900763358778625,0.18591549295774648,0.09791921664626684,0.18441558441558442,0.15636822194199243,0.5409015025041736,0.025500910746812388,0.3946360153256705,0.18938307030129126
oversample,50,0.5290245362058648,0.3229565980213646,0.30958948654879503,0.28596789118623256,51,61,0.8686034995047871,0.19452054794520549,0.17054263565891473,0.13122171945701358,0.22192513368983957,0.1388888888888889,0.5050675675675675,0.015968063872255488,0.42689434364994666,0.18604651162790697
oversample,51,0.5335128665469778,0.3165796464061627,0.308838736700577,0.2806676849246927,34,44,0.8739607582307948,0.20308483290488433,0.1648177496038035,0.08260325406758448,0.18294190358467244,0.13114754098360656,0.6512345679012346,0.03017241379310345,0.33766233766233766,0.14905149051490515
smote,42,0.5453321364452424,0.31674619328590226,0.326611353416989,0.29347937929824675,73,83,0.8674698795180723,0.20512820512820512,0.2096069868995633,0.13551401869158877,0.1912568306010929,0.16589861751152074,0.5188679245283019,0.0410958904109589,0.3812549642573471,0.21870047543581617
smote,43,0.5342609216038301,0.310171900533752,0.3155476656148232,0.2776458065734615,41,51,0.866721177432543,0.20159151193633953,0.1752873563218391,0.09987819732034105,0.17647058823529413,0.13761467889908258,0.5434083601286174,0.03431372549019608,0.3688058489033306,0.17236662106703146
smote,44,0.532166367444644,0.3132735716999148,0.30394983217228866,0.27516350315077276,48,58,0.8702983138780804,0.2071611253196931,0.1921259842519685,0.09331651954602774,0.18725617685305593,0.11842105263157894,0.5258899676375405,0.01996007984031936,0.349146110056926,0.1880597014925373
smote,45,0.5335128665469778,0.3332584683240549,0.31362120830388346,0.2883412809082422,67,77,0.8623942745608328,0.20519159456118666,0.17218543046357615,0.16784869976359337,0.2361963190184049,0.15342465753424658,0.5106382978723404,0.03115264797507788,0.36199095022624433,0.18238993710691823
smote,46,0.5365050867743866,0.32583576841831413,0.3370293697109036,0.29105965822634766,59,69,0.8717362924281984,0.2219215155615697,0.2042833607907743,0.125,0.23138297872340424,0.14977973568281938,0.5483870967741935,0.049342105263157895,0.3488888888888889,0.15987460815047022
smote,47,0.5344105326152004,0.30854803587819796,0.3140849627450505,0.276617977419341,42,52,0.8682895373206513,0.20359281437125748,0.1892744479495268,0.08856088560885608,0.18491484184914841,0.14244186046511628,0.5199674001629991,0.03495145631067961,0.35789473684210527,0.1762917933130699
smote,48,0.5537103530819868,0.3331716862178896,0.33001384668932554,0.29982942114133293,54,64,0.8809407153356198,0.20214395099540583,0.16347381864623245,0.13567251461988303,0.2298507462686567,0.15529411764705883,0.602390438247012,0.030690537084398978,0.3911504424778761,0.2066869300911854
smote,49,0.5412926391382405,0.3241938091065724,0.32335950977347727,0.29083431993845765,96,100,0.8762092146253484,0.22809123649459784,0.18248175182481752,0.12811387900355872,0.2074688796680498,0.17401668653158522,0.531810766721044,0.03023758099352052,0.3722627737226277,0.17765042979942694
smote,50,0.5435368043087971,0.3204945558961279,0.33147775659069956,0.28746688109042456,65,75,0.8751617076326003,0.2116991643454039,0.19633943427620631,0.16045197740112993,0.21614583333333334,0.1157556270096463,0.5210222588623248,0.048582995951417005,0.35791217895608946,0.17159763313609466
smote,51,0.5342609216038301,0.3055203331810948,0.31822247563589506,0.282026204712999,43,53,0.8721333113347632,0.18125,0.2019047619047619,0.11486486486486487,0.20322180916976457,0.10719754977029096,0.5524256651017214,0.03557312252964427,0.3800738007380074,0.1716171617161716
qgan,42,0.5420406941950927,0.291022474726244,0.281129768553251,0.2642589335791025,36,46,0.8651956836849735,0.19205298013245034,0.25084745762711863,0.19433198380566802,0.05037037037037037,0.056022408963585436,0.527027027027027,0.029197080291970802,0.36115843270868825,0.11638591117917305
qgan,43,0.562986235786954,0.31377939199200655,0.2907056673293281,0.2810546672499644,56,66,0.8786220218931101,0.15247776365946633,0.26666666666666666,0.22356495468277945,0.059190031152647975,0.11764705882352941,0.6203763789746918,0.031007751937984496,0.35195530726256985,0.10903873744619799
qgan,44,0.5576002393776182,0.3036002215196144,0.30800040678459545,0.2897389569548606,99,100,0.8742632612966601,0.2209737827715356,0.2235294117647059,0.1835016835016835,0.09885931558935361,0.106703146374829,0.5835694050991501,0.11594202898550725,0.3560606060606061,0.13398692810457516
qgan,45,0.5613405146618791,0.31892080007136375,0.30367373909154727,0.27950603729357754,85,95,0.8804170739654611,0.20284697508896798,0.26959247648902823,0.14507772020725387,0.10972568578553615,0.06713780918727916,0.6146272855133614,0.046511627906976744,0.30755864465682015,0.1515650741350906
qgan,46,0.5523638539796529,0.3051381789619509,0.2919434174177574,0.27822042591796314,58,68,0.8732258064516129,0.20198675496688742,0.2576271186440678,0.21414538310412573,0.08529411764705883,0.08468244084682441,0.549962434259955,0.035398230088495575,0.35267349260523323,0.127208480565371
qgan,47,0.553411131059246,0.3173083760105538,0.30266550755369187,0.2821862033773973,69,79,0.87109375,0.14988290398126464,0.291970802919708,0.21564885496183206,0.07244094488188976,0.07917383820998279,0.5802562170308968,0.061068702290076333,0.3686534216335541,0.13167259786476868
qgan,48,0.5670257330939558,0.2965148538295659,0.3048740044807587,0.28517016231032744,86,96,0.8822387576835975,0.17701453104359313,0.22686567164179106,0.22595704948646125,0.07641196013289037,0.06451612903225806,0.6255201109570042,0.04316546762589928,0.3645443196004994,0.16546762589928057
qgan,49,0.5667265110712149,0.30633829240723964,0.2999331177596535,0.28961506773856305,54,64,0.8817343471930108,0.17721518987341772,0.30625,0.2395644283121597,0.058823529411764705,0.11688311688311688,0.6100495399858458,0.0,0.35709857408555484,0.14853195164075994
qgan,50,0.5643327348892878,0.32198546950407697,0.2986451671300541,0.2822621589435202,52,62,0.8766597344424892,0.1984251968503937,0.2878228782287823,0.22598870056497175,0.06770833333333333,0.06675224646983312,0.5892857142857143,0.07692307692307693,0.3176710929519918,0.11538461538461539
qgan,51,0.5412926391382405,0.2839388329598421,0.29275000775646287,0.2722265985313474,57,67,0.8608330642557314,0.23193916349809887,0.23383084577114427,0.15249780893952672,0.07575757575757576,0.10909090909090909,0.5316265060240963,0.04411764705882353,0.3568414707655214,0.12573099415204678
ctgan,42,0.5695691202872532,0.3019621192894058,0.29440843671200256,0.2756912503510093,68,78,0.8841038632045598,0.19765494137353434,0.2721518987341772,0.2003968253968254,0.07158836689038031,0.08874801901743265,0.5643212508884151,0.0,0.32381889763779526,0.15412844036697249
ctgan,43,0.5719628964691801,0.28191119597311637,0.2979284438020767,0.27536263970965563,56,66,0.8840135505726731,0.16621983914209115,0.18840579710144928,0.188911704312115,0.08267716535433071,0.11314984709480122,0.6263473053892216,0.020618556701030927,0.3452229299363057,0.13805970149253732
ctgan,44,0.5757031717534411,0.33985720613222514,0.29344158588260505,0.28663435153482997,50,60,0.8969657634269025,0.20359281437125748,0.29535864978902954,0.23821765209940018,0.051829268292682924,0.06944444444444445,0.6507042253521127,0.0,0.35173160173160173,0.10849909584086799
ctgan,45,0.5671753441053261,0.32098008028307023,0.2985914465573212,0.2863957513885053,52,62,0.8928687723868447,0.17465753424657535,0.30985915492957744,0.1961904761904762,0.08936170212765958,0.10752688172043011,0.6324909747292419,0.015037593984962405,0.3234529381175247,0.1225114854517611
ctgan,46,0.5617893476959904,0.29982557828333856,0.2967893270574631,0.281330877276312,40,50,0.8823338735818477,0.19534883720930232,0.2724795640326976,0.20798514391829154,0.036036036036036036,0.07631578947368421,0.6171107994389902,0.06521739130434782,0.3458980044345898,0.11458333333333333
