bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
56.36585365853659,54,60,40734,1514,54,1217.142442329408,257.6915253826371,38.3975287764875,2249744.840029047,1373.5365532794588,1629,0.1336494555672638,5579,0,0,6
567.8181818181819,54,54,6246,360,60,341.8181818181818,109.20690802477002,559.1516005491661,30473.103029075068,115.8181818181818,8,1.0,3,3,0,5
68.33333333333333,54,54,205,54,60,61.16666666666666,0.0,11.785113019775793,7175.817300172063,54.0,1,1.0,0,0,3,8
54.0,54,114,13446,1514,54,1145.8739255014327,269.64650956873754,0.0,1017567.0960822804,1329.4490209318028,639,0.1722772277227722,1504,0,0,3
564.0,81,81,564,81,564,242.0,0.0,0.0,4536.989588671275,81.0,0,0.5,2,0,0,2
670.7916666666666,54,54,16099,1874,60,476.2682926829268,430.0079262164786,656.1756611334262,1215.2663896039364,201.64705882352945,13,1.411764705882353,6,3,2,7
1423.5906127770534,54,54,1091894,532,60,1284.3040935672514,86.73918050041915,275.3881401013671,99903.72457257878,70.29545454545455,103,8.715909090909092,3,0,2,8
74.0,74,86,74,86,74,82.0,0.0,0.0,987.0836493204772,86.0,0,0.5,2,0,0,9
60.0,60,63,480,63,60,61.588235294117645,0.0,0.0,276.881944361803,63.0,9,0.8888888888888888,9,0,0,0
169.0,73,73,169,73,169,105.0,0.0,0.0,12019.68939596291,73.0,0,0.5,2,0,0,2
1446.655870445344,54,54,714648,525,60,1220.920338983051,47.86275839828975,229.0970989889069,442874.55956500914,59.32291666666666,61,5.239583333333333,1,3,0,8
60.0,50,50,60,50,60,53.333333333333336,0.0,0.0,2701.196967906404,50.0,0,0.5,2,0,0,2
106.0,106,186,742,186,106,148.66666666666666,0.0,0.0,3848.769256790575,186.0,0,0.875,8,0,0,8
74.0,74,151,74,151,74,125.33333333333331,0.0,0.0,5350.180710891033,151.0,0,0.5,2,0,0,0
641.9166666666666,54,54,7703,617,60,416.95454545454544,171.38611378988674,596.3570600366492,40575.20988702814,147.0,8,1.2,3,3,0,8
278.5,54,60,1671,785,54,211.25,212.8409969907113,476.24424755931,7735.190999716224,170.9,8,0.6,10,0,2,9
54.825,54,60,8772,1514,54,1115.8530805687203,184.9744351821124,7.808288865045913,230398.5799043549,1364.046783625731,334,0.2339181286549707,684,0,0,6
571.7692307692307,54,54,7433,969,60,376.2692307692308,253.9240206912762,596.6941174693154,2499.788554121585,180.7692307692308,9,1.0,4,3,0,9
0.0,66,66,0,66,0,66.0,0.0,0.0,26.31334838953005,66.0,0,0.0,0,6,0,0
525.0,69,69,1575,89,476,247.375,8.304215796810677,61.68198008062538,257.1554578159796,80.8,0,0.6,5,0,0,3
67.17391304347827,54,60,1545,1514,54,955.6105263157896,340.61654678603685,46.38089203063754,91055.43787010736,1239.4166666666667,52,0.3194444444444444,72,0,0,6
185.0,78,78,185,78,185,113.66666666666669,0.0,0.0,1317.9813627386184,78.0,0,0.5,2,0,0,5
617.0,93,93,617,93,617,267.6666666666667,0.0,0.0,5212.288798447348,93.0,0,0.5,2,0,0,4
77.33333333333333,54,60,232,862,54,179.5,311.4362856187442,16.49915822768611,316.3773297577113,240.8,5,0.6,5,0,0,1
262.0,248,248,262,248,262,252.66666666666663,0.0,0.0,3910.623171732076,248.0,0,0.5,2,0,0,4
0.0,66,66,0,66,0,66.0,0.0,0.0,87.50863899205959,66.0,0,0.0,0,4,0,9
637.9166666666666,54,54,7655,617,60,414.77272727272725,171.38611378988674,595.1597066241035,19159.70268340822,147.0,8,1.2,3,3,0,1
212.8571428571429,54,54,1490,108,60,141.14285714285714,24.394713378441782,100.48941461158778,669.9976672146,69.42857142857143,8,1.0,2,0,0,5
973.2571428571428,54,54,34064,71,60,566.3809523809524,5.427161471031893,661.2400619985427,9458.248731637235,57.785714285714285,36,1.25,10,0,0,0
699.8333333333334,54,54,4199,504,60,566.3,181.3325674003432,607.9496735384892,80422.06316746194,366.0,5,1.5,3,0,0,1
0.0,66,66,0,66,0,66.0,0.0,0.0,86.64666572799445,66.0,0,0.0,0,4,0,7
60.0,60,66,60,66,60,64.0,0.0,0.0,334.88333153100984,66.0,0,0.5,0,2,0,0
76.66666666666667,54,54,230,110,60,87.42857142857143,23.973944189473706,23.570226039551585,210.2049704545236,95.5,4,0.75,3,0,0,5
60.0,55,55,60,55,60,56.66666666666666,0.0,0.0,592334.4947735192,55.0,0,0.5,2,0,0,3
54.0,54,114,14634,1514,54,1097.1525641025642,291.2555119839468,0.0,808800.9017814734,1317.4510108864697,556,0.2073906485671191,1316,0,0,3
290.2352941176471,54,54,4934,4594,60,364.23333333333335,1195.86222514906,481.271298005332,7855.974048756359,461.0,10,1.3076923076923077,6,3,2,7
480.45454545454544,54,54,10570,1846,60,365.6666666666667,415.76179299222616,572.1291754389298,29683.701335464742,217.1176470588236,16,1.2941176470588236,9,3,0,1
